Start;Stop;Chanel;Num;Ctg;NameSer;Ratio
170445;170705;Киносвидание;38;Х/ф;Римские свидания;[16+]
170705;171015;Киносвидание;38;Х/ф;Граф Монте-Кристо;[18+]
171015;171220;Киносвидание;38;Х/ф;Сисси - молодая императрица;[16+]
171220;171430;Киносвидание;38;Х/ф;Сисси: Трудные годы императрицы;[16+]
171430;171625;Киносвидание;38;Х/ф;Начни сначала;[16+]
171625;171840;Киносвидание;38;Х/ф;Паутина страсти;[18+]
171840;172015;Киносвидание;38;Х/ф;Цена соблазна;[18+]
172015;172150;Киносвидание;38;Х/ф;Сестра жениха;[18+]
172150;172330;Киносвидание;38;Х/ф;Случайный муж;[18+]
172330;180105;Киносвидание;38;Х/ф;Пленница любви;[18+]
180105;180310;Киносвидание;38;Х/ф;Греческие каникулы;[18+]
180310;180515;Киносвидание;38;Х/ф;Анжелика, маркиза ангелов;[16+]
180515;180720;Киносвидание;38;Х/ф;Красавица и миллионер;[16+]
180720;180925;Киносвидание;38;Х/ф;9 1/2 недель;[18+]
180925;181120;Киносвидание;38;Х/ф;После;[18+]
181120;181315;Киносвидание;38;Х/ф;После. Глава 2;[18+]
181315;181520;Киносвидание;38;Х/ф;Теща в загуле;[18+]
181520;181730;Киносвидание;38;Х/ф;Материалистка;[18+]
181730;181920;Киносвидание;38;Х/ф;В гостях у Элис;[18+]
181920;182100;Киносвидание;38;Х/ф;Пленница любви;[18+]
182100;182330;Киносвидание;38;Х/ф;Сабрина;[16+]
182330;190105;Киносвидание;38;Х/ф;Заснеженная магия;[12+]
190105;190305;Киносвидание;38;Х/ф;Эйфель;[18+]
190305;190450;Киносвидание;38;Х/ф;128 ударов сердца в минуту;[18+]
190450;190700;Киносвидание;38;Х/ф;Рождественское меню;[12+]
190700;190850;Киносвидание;38;Х/ф;Начни сначала;[16+]
190850;191040;Киносвидание;38;Х/ф;Эммануэль;[18+]
191040;191355;Киносвидание;38;Х/ф;Граф Монте-Кристо;[18+]
191355;191545;Киносвидание;38;Х/ф;В гостях у Элис;[18+]
191545;191750;Киносвидание;38;Х/ф;Анжелика, маркиза ангелов;[16+]
191750;191930;Киносвидание;38;Х/ф;Случайный муж;[18+]
191930;192110;Киносвидание;38;Х/ф;Заснеженная магия;[12+]
192110;192330;Киносвидание;38;Х/ф;Сердцеедки;[18+]
192330;200230;Киносвидание;38;Х/ф;Александр;[18+]
200230;200445;Киносвидание;38;Х/ф;Неукротимая страсть;[18+]
200445;200700;Киносвидание;38;Х/ф;Сабрина;[16+]
200700;200840;Киносвидание;38;Х/ф;Женщины в бегах;[18+]
200840;201030;Киносвидание;38;Х/ф;Красавица и миллионер;[16+]
201030;201245;Киносвидание;38;Х/ф;Паутина страсти;[18+]
201245;201455;Киносвидание;38;Х/ф;Материалистка;[18+]
201455;201635;Киносвидание;38;Х/ф;Случайный муж;[18+]
201635;201815;Киносвидание;38;Х/ф;Пленница любви;[18+]
201815;202125;Киносвидание;38;Х/ф;Александр;[18+]
202125;202330;Киносвидание;38;Х/ф;Купи меня;[18+]
202330;210155;Киносвидание;38;Х/ф;Субстанция;[18+]
210155;210350;Киносвидание;38;Х/ф;Подарок;[18+]
210350;210545;Киносвидание;38;Х/ф;Начни сначала;[16+]
210545;210830;Киносвидание;38;Х/ф;Анжелика, маркиза ангелов;[16+]
210830;211030;Киносвидание;38;Х/ф;Теща в загуле;[18+]
211030;211245;Киносвидание;38;Х/ф;9 1/2 недель;[18+]
